Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija (total)
2022,1,San Luis,5.940315626572804,20.756518627562095,30071
2022,1,Santa Cruz,6.552756566874916,22.02231647235592,23766
2022,1,Santa Fe,17.821076678279717,56.67474697156452,628606
2022,1,Santiago del Estero,6.92358283227678,27.89765978413488,67503
2022,1,Tierra del Fuego,10.444118863789113,35.22796090971308,17966
2022,1,Tucumán,10.956951483692787,44.232771670937545,184951
2021,4,Buenos Aires,18.81385509696746,56.66541736718956,3313370
2021,4,Capital Federal,46.76986013015638,112.98788356406749,1439097
2021,4,Catamarca,7.108061971665597,27.944093488665985,29635
2021,4,Chaco,7.5101531160608594,28.099985868514597,90829
2021,4,Chubut,10.944334546528122,35.70574848071071,68209
2021,4,Córdoba,15.457723733602279,50.488763012698044,583715
